DataHora,Dia,Mês,Ano,Satelite,Municipio,latitude,longitude
6/19/2020,19,6,2020,NOAA-20,BRASILIA,-15°80773,-48°16292
6/19/2020,19,6,2020,NOAA-20,BRASILIA,-15°86589,-48°00219
11/2/2020,2,11,2020,NOAA-20,BRASILIA,-15°56728,-47°85551
11/2/2020,2,11,2020,NOAA-20,BRASILIA,-15°57071,-47°85612
5/26/2020,26,5,2020,GOES-16,BRASILIA,-0°01565,-0°04788
5/26/2020,26,5,2020,GOES-16,BRASILIA,-0°01565,-0°04785
5/26/2020,26,5,2020,GOES-16,BRASILIA,-0°01567,-0°04787
5/26/2020,26,5,2020,NOAA-20,BRASILIA,-15°56892,-47°85563
5/26/2020,26,5,2020,NPP-375,BRASILIA,-15°82942,-48°12055
5/26/2020,26,5,2020,NPP-375,BRASILIA,-15°63353,-47°46148
5/26/2020,26,5,2020,NOAA-20,BRASILIA,-15°65495,-47°88251
5/26/2020,26,5,2020,NOAA-20,BRASILIA,-15°65629,-0°04789
5/26/2020,26,5,2020,NOAA-20,BRASILIA,-15°65696,-47°89378
5/26/2020,26,5,2020,NOAA-20,BRASILIA,-15°65763,-47°89752
5/26/2020,26,5,2020,NOAA-20,BRASILIA,-15°65158,-47°88706
5/26/2020,26,5,2020,NOAA-20,BRASILIA,-15°65022,-47°87951
5/26/2020,26,5,2020,NOAA-20,BRASILIA,-1°56509,-47°88329
5/27/2020,27,5,2020,NOAA-20,BRASILIA,-15°62872,-47°46199
5/27/2020,27,5,2020,NOAA-20,BRASILIA,-15°63217,-4°74626
5/27/2020,27,5,2020,NOAA-20,BRASILIA,-15°57031,-47°85513
5/27/2020,27,5,2020,NOAA-20,BRASILIA,-15°96283,-48°07252
5/27/2020,27,5,2020,NOAA-20,BRASILIA,-15°96338,-4°80761
5/27/2020,27,5,2020,NOAA-20,BRASILIA,-15°89486,-47°78529
5/27/2020,27,5,2020,NOAA-20,BRASILIA,-15°78313,-48°09521
5/27/2020,27,5,2020,NOAA-20,BRASILIA,-15°63412,-47°46154
5/1/2020,1,5,2020,NOAA-19,BRASILIA,-15°71412,-479°30954
8/26/2020,26,8,2020,GOES-16,BRASILIA,-0°01572,-0°04739
8/26/2020,26,8,2020,NPP-375,BRASILIA,-15°57853,-47°41042
8/26/2020,26,8,2020,NPP-375,BRASILIA,-1°55796,-47°41549
8/26/2020,26,8,2020,NPP-375,BRASILIA,-1°55823,-47°41148
8/26/2020,26,8,2020,NPP-375,BRASILIA,-15°75999,-48°15231
8/26/2020,26,8,2020,NPP-375,BRASILIA,-15°77223,-48°03325
8/26/2020,26,8,2020,NPP-375,BRASILIA,-16°04146,-47°54044
8/26/2020,26,8,2020,NPP-375,BRASILIA,-1°60419,-47°53897
8/26/2020,26,8,2020,NPP-375,BRASILIA,-1°60429,-47°54377
8/26/2020,26,8,2020,NPP-375,BRASILIA,-16°04786,-48°11394
5/1/2020,1,5,2020,NOAA-20,BRASILIA,-15°86619,-4°79338
5/1/2020,1,5,2020,AQUA_M-T,BRASILIA,-0°15937,-0°47594
8/26/2020,26,8,2020,NPP-375,BRASILIA,-16°04516,-48°11143
8/26/2020,26,8,2020,AQUA_M-T,BRASILIA,-0°15681,-0°48213
8/26/2020,26,8,2020,NOAA-20,BRASILIA,-15°73175,-48°20118
8/26/2020,26,8,2020,NOAA-20,BRASILIA,-1°55741,-47°63692
8/26/2020,26,8,2020,NOAA-20,BRASILIA,-15°73085,-48°20626
8/26/2020,26,8,2020,NOAA-20,BRASILIA,-15°56659,-47°85707
8/26/2020,26,8,2020,NOAA-20,BRASILIA,-16°04802,-48°11206
8/26/2020,26,8,2020,NOAA-20,BRASILIA,-15°62091,-47°62888
8/26/2020,26,8,2020,NOAA-20,BRASILIA,-15°68164,-48°20719
8/26/2020,26,8,2020,NOAA-20,BRASILIA,-15°67827,-4°82077
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°82891,-47°96139
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°85597,-48°13126
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°85692,-48°13629
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°74024,-47°68562
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°70525,-47°88121
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°57784,-47°99674
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-1°60267,-47°35888
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-16°02159,-47°35976
9/9/2020,9,9,2020,NPP-375,BRASILIA,-15°57591,-47°99598
9/9/2020,9,9,2020,NPP-375,BRASILIA,-15°76437,-48°00534
9/9/2020,9,9,2020,AQUA_M-T,BRASILIA,-0°15914,-0°48117
9/9/2020,9,9,2020,NPP-375,BRASILIA,-15°82997,-47°95819
9/9/2020,9,9,2020,NPP-375,BRASILIA,-15°85648,-4°81331
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-1°59316,-47°81738
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°57014,-47°85564
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°94324,-48°10832
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°91564,-48°11159
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°91667,-48°11696
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°91083,-4°81127
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-15°83034,-47°95912
9/9/2020,9,9,2020,NOAA-20,BRASILIA,-1°58548,-4°81348
9/8/2020,8,9,2020,NPP-375,BRASILIA,-15°94055,-48°10514
9/8/2020,8,9,2020,NOAA-19,BRASILIA,-159°31348,-4°80811
9/8/2020,8,9,2020,NPP-375,BRASILIA,-15°65052,-4°76031
9/8/2020,8,9,2020,NPP-375,BRASILIA,-15°59662,-47°63055
9/8/2020,8,9,2020,NOAA-20,BRASILIA,-15°98699,-0°48222
9/8/2020,8,9,2020,NPP-375,BRASILIA,-15°98796,-48°21909
9/8/2020,8,9,2020,NOAA-20,BRASILIA,-15°95227,-48°10483
9/8/2020,8,9,2020,NPP-375,BRASILIA,-15°59995,-0°04763
9/8/2020,8,9,2020,NPP-375,BRASILIA,-15°93723,-48°10569
9/8/2020,8,9,2020,NOAA-19,BRASILIA,-159°32566,-480°88638
9/8/2020,8,9,2020,NOAA-20,BRASILIA,-15°75515,-48°16338
9/8/2020,8,9,2020,AQUA_M-T,BRASILIA,-0°15949,-0°48101
9/8/2020,8,9,2020,TERRA_M-T,BRASILIA,-0°15798,-0°48209
9/8/2020,8,9,2020,NPP-375,BRASILIA,-15°99127,-48°21855
9/8/2020,8,9,2020,NOAA-20,BRASILIA,-15°81248,-47°98349
9/8/2020,8,9,2020,NOAA-20,BRASILIA,-15°88271,-47°47448
