Municipio;latitude;longitude
BRASILIA;-15.80773;-48.16292
BRASILIA;-15.86589;-48.00219
BRASILIA;-15.56728;-47.85551
BRASILIA;-15.57071;-47.85612
BRASILIA;-1565;-4788
BRASILIA;-1565;-4785
BRASILIA;-1567;-4787
BRASILIA;-1556892;-4785563
BRASILIA;-1582942;-4812055
BRASILIA;-1563353;-4746148
BRASILIA;-1565495;-4788251
BRASILIA;-1565629;-4789
BRASILIA;-1565696;-4789378
BRASILIA;-1565763;-4789752
BRASILIA;-1565158;-4788706
BRASILIA;-1565022;-4787951
BRASILIA;-156509;-4788329
BRASILIA;-1562872;-4746199
BRASILIA;-1563217;-474626
BRASILIA;-1557031;-4785513
BRASILIA;-1596283;-4807252
BRASILIA;-1596283;-480761
BRASILIA;-1490995,814;-4128300,681
BRASILIA;-1510446,862;-4169849,461
BRASILIA;-1529897,91;-4211398,242
BRASILIA;-1549348,958;-4252947,023
BRASILIA;-1568800,006;-4294495,803
BRASILIA;-1588251,055;-4336044,584
BRASILIA;-1607702,103;-4377593,364
BRASILIA;-1627153,151;-4419142,145
BRASILIA;-1646604,199;-4460690,925
BRASILIA;-1666055,247;-4502239,706
BRASILIA;-1685506,295;-4543788,486
BRASILIA;-1704957,343;-4585337,267
BRASILIA;-1724408,391;-4626886,047
BRASILIA;-1743859,439;-4668434,828
BRASILIA;-1763310,487;-4709983,608
BRASILIA;-1782761,535;-4751532,389
BRASILIA;-1802212,583;-4793081,169
BRASILIA;-1821663,631;-4834629,95
BRASILIA;-1841114,679;-4876178,73
BRASILIA;-1860565,727;-4917727,511
BRASILIA;-1880016,775;-4959276,291
BRASILIA;latitude;longitude
BRASILIA;-1899467,823;-5000825,072
BRASILIA;-1918918,871;-5042373,852
BRASILIA;-1938369,919;-5083922,633
BRASILIA;-1957820,968;-5125471,413
BRASILIA;-1977272,016;-5167020,194
BRASILIA;-1996723,064;-5208568,974
BRASILIA;-2016174,112;-5250117,755
BRASILIA;-2035625,16;-5291666,535
BRASILIA;-2055076,208;-5333215,316
BRASILIA;-2074527,256;-5374764,097
BRASILIA;-2093978,304;-5416312,877
BRASILIA;-2113429,352;-5457861,658
BRASILIA;-2132880,4;-5499410,438
BRASILIA;-2152331,448;-5540959,219
BRASILIA;-2171782,496;-5582507,999
BRASILIA;-2191233,544;-5624056,78
BRASILIA;-2210684,592;-5665605,56
BRASILIA;-2230135,64;-5707154,341
BRASILIA;-2249586,688;-5748703,121
BRASILIA;-2269037,736;-5790251,902
BRASILIA;-2288488,784;-5831800,682
BRASILIA;latitude;longitude
BRASILIA;-2307939,832;-5873349,463
BRASILIA;-2327390,881;-5914898,243
BRASILIA;-2346841,929;-5956447,024
BRASILIA;-2366292,977;-5997995,804
BRASILIA;-2385744,025;-6039544,585
BRASILIA;-2405195,073;-6081093,365
BRASILIA;-2424646,121;-6122642,146
BRASILIA;-2444097,169;-6164190,926
BRASILIA;-2463548,217;-6205739,707
BRASILIA;-2482999,265;-6247288,487
BRASILIA;-2502450,313;-6288837,268
BRASILIA;-2521901,361;-6330386,048
BRASILIA;-2541352,409;-6371934,829
BRASILIA;-2560803,457;-6413483,61
BRASILIA;-2580254,505;-6455032,39
BRASILIA;-2599705,553;-6496581,171
BRASILIA;-2619156,601;-6538129,951
BRASILIA;-2638607,649;-6579678,732
BRASILIA;-2658058,697;-6621227,512
BRASILIA;-2677509,745;-6662776,293
BRASILIA;-2696960,794;-6704325,073
BRASILIA;latitude;longitude
BRASILIA;-2716411,842;-6745873,854
BRASILIA;-2735862,89;-6787422,634
BRASILIA;-2755313,938;-6828971,415
BRASILIA;-2774764,986;-6870520,195
BRASILIA;-2794216,034;-6912068,976
BRASILIA;-2813667,082;-6953617,756
BRASILIA;-2833118,13;-6995166,537
BRASILIA;-2852569,178;-7036715,317
BRASILIA;-2872020,226;-7078264,098
BRASILIA;-2891471,274;-7119812,878
BRASILIA;-2910922,322;-7161361,659
BRASILIA;-2930373,37;-7202910,439
BRASILIA;-2949824,418;-7244459,22
BRASILIA;-2969275,466;-7286008
BRASILIA;-2988726,514;-7327556,781
BRASILIA;-3008177,562;-7369105,561
BRASILIA;-3027628,61;-7410654,342
BRASILIA;-3047079,658;-7452203,123
BRASILIA;-3066530,706;-7493751,903
BRASILIA;-3085981,755;-7535300,684
BRASILIA;-3105432,803;-7576849,464
BRASILIA;latitude;longitude
BRASILIA;-3124883,851;-7618398,245
BRASILIA;-3144334,899;-7659947,025
BRASILIA;-3163785,947;-7701495,806
BRASILIA;-3183236,995;-7743044,586
BRASILIA;-3202688,043;-7784593,367
BRASILIA;-3222139,091;-7826142,147
BRASILIA;-3241590,139;-7867690,928
BRASILIA;-3261041,187;-7909239,708
BRASILIA;-3280492,235;-7950788,489
BRASILIA;-3299943,283;-7992337,269
BRASILIA;-3319394,331;-8033886,05
BRASILIA;-3338845,379;-8075434,83
BRASILIA;-3358296,427;-8116983,611
BRASILIA;-3377747,475;-8158532,391
BRASILIA;-3397198,523;-8200081,172
BRASILIA;-3416649,571;-8241629,952
BRASILIA;-3436100,619;-8283178,733
BRASILIA;-3455551,668;-8324727,513
BRASILIA;-3475002,716;-8366276,294
BRASILIA;-3494453,764;-8407825,074
BRASILIA;-3513904,812;-8449373,855
BRASILIA;latitude;longitude
BRASILIA;-3533355,86;-8490922,635
BRASILIA;-3552806,908;-8532471,416
BRASILIA;-3572257,956;-8574020,197
BRASILIA;-3591709,004;-8615568,977
BRASILIA;-3611160,052;-8657117,758
BRASILIA;-3630611,1;-8698666,538
BRASILIA;-3650062,148;-8740215,319
BRASILIA;-3669513,196;-8781764,099
BRASILIA;-3688964,244;-8823312,88
BRASILIA;-3708415,292;-8864861,66
BRASILIA;-3727866,34;-8906410,441
BRASILIA;-3747317,388;-8947959,221
BRASILIA;-3766768,436;-8989508,002
BRASILIA;-3786219,484;-9031056,782
BRASILIA;-3805670,532;-9072605,563
BRASILIA;-3825121,581;-9114154,343
BRASILIA;-3844572,629;-9155703,124
BRASILIA;-3864023,677;-9197251,904
BRASILIA;-3883474,725;-9238800,685
BRASILIA;-3902925,773;-9280349,465
BRASILIA;-3922376,821;-9321898,246
BRASILIA;latitude;longitude
BRASILIA;-3941827,869;-9363447,026
BRASILIA;-3961278,917;-9404995,807
BRASILIA;-3980729,965;-9446544,587
BRASILIA;-4000181,013;-9488093,368
BRASILIA;-4019632,061;-9529642,148
BRASILIA;-4039083,109;-9571190,929
BRASILIA;-4058534,157;-9612739,71
BRASILIA;-4077985,205;-9654288,49
BRASILIA;-4097436,253;-9695837,271
BRASILIA;-4116887,301;-9737386,051
BRASILIA;-4136338,349;-9778934,832
BRASILIA;-4155789,397;-9820483,612
BRASILIA;-4175240,445;-9862032,393
BRASILIA;-4194691,494;-9903581,173
BRASILIA;-4214142,542;-9945129,954
BRASILIA;-4233593,59;-9986678,734
BRASILIA;-4253044,638;-10028227,51
BRASILIA;-4272495,686;-10069776,3
BRASILIA;-4291946,734;-10111325,08
BRASILIA;-4311397,782;-10152873,86
BRASILIA;-4330848,83;-10194422,64
BRASILIA;latitude;longitude
BRASILIA;-4350299,878;-10235971,42
BRASILIA;-4369750,926;-10277520,2
BRASILIA;-4389201,974;-10319068,98
BRASILIA;-4408653,022;-10360617,76
BRASILIA;-4428104,07;-10402166,54
BRASILIA;-4447555,118;-10443715,32
BRASILIA;-4467006,166;-10485264,1
BRASILIA;-4486457,214;-10526812,88
BRASILIA;-4505908,262;-10568361,66
BRASILIA;-4525359,31;-10609910,44
BRASILIA;-4544810,358;-10651459,22
BRASILIA;-4564261,406;-10693008
BRASILIA;-4583712,455;-10734556,78
BRASILIA;-4603163,503;-10776105,56
BRASILIA;-4622614,551;-10817654,34
BRASILIA;-4642065,599;-10859203,13
BRASILIA;-4661516,647;-10900751,91
BRASILIA;-4680967,695;-10942300,69
BRASILIA;-4700418,743;-10983849,47
BRASILIA;-4719869,791;-11025398,25
BRASILIA;-4739320,839;-11066947,03
BRASILIA;latitude;longitude
BRASILIA;-4758771,887;-11108495,81
BRASILIA;-4778222,935;-11150044,59
BRASILIA;-4797673,983;-11191593,37
BRASILIA;-4817125,031;-11233142,15
BRASILIA;-4836576,079;-11274690,93
BRASILIA;-4856027,127;-11316239,71
BRASILIA;-4875478,175;-11357788,49
BRASILIA;-4894929,223;-11399337,27
BRASILIA;-4914380,271;-11440886,05
BRASILIA;-4933831,319;-11482434,83
BRASILIA;-4953282,368;-11523983,61
BRASILIA;-4972733,416;-11565532,39
BRASILIA;-4992184,464;-11607081,17
BRASILIA;-5011635,512;-11648629,95
BRASILIA;-5031086,56;-11690178,74
BRASILIA;-5050537,608;-11731727,52
BRASILIA;-5069988,656;-11773276,3
BRASILIA;-5089439,704;-11814825,08
BRASILIA;-5108890,752;-11856373,86
BRASILIA;-5128341,8;-11897922,64
BRASILIA;-5147792,848;-11939471,42
BRASILIA;latitude;longitude
BRASILIA;-5167243,896;-11981020,2
BRASILIA;-5186694,944;-12022568,98
BRASILIA;-5206145,992;-12064117,76
BRASILIA;-5225597,04;-12105666,54
BRASILIA;-5245048,088;-12147215,32
BRASILIA;-5264499,136;-12188764,1
BRASILIA;-5283950,184;-12230312,88
BRASILIA;-5303401,232;-12271861,66
BRASILIA;-5322852,281;-12313410,44
BRASILIA;-5342303,329;-12354959,22
BRASILIA;-5361754,377;-12396508
BRASILIA;-5381205,425;-12438056,78
BRASILIA;-5400656,473;-12479605,57
BRASILIA;-5420107,521;-12521154,35
BRASILIA;-5439558,569;-12562703,13
BRASILIA;-5459009,617;-12604251,91
BRASILIA;-5478460,665;-12645800,69
BRASILIA;-5497911,713;-12687349,47
BRASILIA;-5517362,761;-12728898,25
BRASILIA;-5536813,809;-12770447,03
BRASILIA;-5556264,857;-12811995,81
BRASILIA;latitude;longitude
BRASILIA;-5575715,905;-12853544,59
BRASILIA;-5595166,953;-12895093,37
BRASILIA;-5614618,001;-12936642,15
BRASILIA;-5634069,049;-12978190,93
BRASILIA;-5653520,097;-13019739,71
BRASILIA;-5672971,145;-13061288,49
BRASILIA;-5692422,194;-13102837,27
BRASILIA;-5711873,242;-13144386,05
BRASILIA;-5731324,29;-13185934,83
BRASILIA;-5750775,338;-13227483,61
BRASILIA;-5770226,386;-13269032,4
BRASILIA;-5789677,434;-13310581,18
BRASILIA;-5809128,482;-13352129,96
BRASILIA;-5828579,53;-13393678,74
BRASILIA;-5848030,578;-13435227,52
BRASILIA;-5867481,626;-13476776,3
BRASILIA;-5886932,674;-13518325,08
BRASILIA;-5906383,722;-13559873,86
BRASILIA;-5925834,77;-13601422,64
BRASILIA;-5945285,818;-13642971,42
BRASILIA;-5964736,866;-13684520,2
BRASILIA;latitude;longitude
BRASILIA;-5984187,914;-13726068,98
BRASILIA;-6003638,962;-13767617,76
BRASILIA;-6023090,01;-13809166,54
BRASILIA;-6042541,058;-13850715,32
BRASILIA;-6061992,106;-13892264,1
BRASILIA;-6081443,155;-13933812,88
BRASILIA;-6100894,203;-13975361,66
BRASILIA;-6120345,251;-14016910,44
BRASILIA;-6139796,299;-14058459,23
BRASILIA;-6159247,347;-14100008,01
BRASILIA;-6178698,395;-14141556,79
BRASILIA;-6198149,443;-14183105,57
BRASILIA;-6217600,491;-14224654,35
BRASILIA;-6237051,539;-14266203,13
BRASILIA;-6256502,587;-14307751,91
BRASILIA;-6275953,635;-14349300,69
BRASILIA;-6295404,683;-14390849,47
BRASILIA;-6314855,731;-14432398,25
BRASILIA;-6334306,779;-14473947,03
BRASILIA;-6353757,827;-14515495,81
BRASILIA;-6373208,875;-14557044,59
BRASILIA;latitude;longitude
BRASILIA;-6392659,923;-14598593,37
BRASILIA;-6412110,971;-14640142,15
BRASILIA;-6431562,019;-14681690,93
BRASILIA;-6451013,068;-14723239,71
BRASILIA;-6470464,116;-14764788,49
BRASILIA;-6489915,164;-14806337,27
BRASILIA;-6509366,212;-14847886,05
BRASILIA;-6528817,26;-14889434,84
BRASILIA;-6548268,308;-14930983,62
BRASILIA;-6567719,356;-14972532,4
BRASILIA;-6587170,404;-15014081,18
BRASILIA;-6606621,452;-15055629,96
BRASILIA;-6626072,5;-15097178,74
BRASILIA;-6645523,548;-15138727,52
BRASILIA;-6664974,596;-15180276,3
BRASILIA;-6684425,644;-15221825,08
BRASILIA;-6703876,692;-15263373,86
BRASILIA;-6723327,74;-15304922,64
BRASILIA;-6742778,788;-15346471,42
BRASILIA;-6762229,836;-15388020,2
BRASILIA;-6781680,884;-15429568,98
BRASILIA;latitude;longitude
BRASILIA;-6801131,932;-15471117,76
BRASILIA;-6820582,981;-15512666,54
BRASILIA;-6840034,029;-15554215,32
BRASILIA;-6859485,077;-15595764,1
BRASILIA;-6878936,125;-15637312,88
BRASILIA;-6898387,173;-15678861,67
BRASILIA;-6917838,221;-15720410,45
BRASILIA;-6937289,269;-15761959,23
BRASILIA;-6956740,317;-15803508,01
BRASILIA;-6976191,365;-15845056,79
BRASILIA;-6995642,413;-15886605,57
BRASILIA;-7015093,461;-15928154,35
BRASILIA;-7034544,509;-15969703,13
BRASILIA;-7053995,557;-16011251,91
BRASILIA;-7073446,605;-16052800,69
BRASILIA;-7092897,653;-16094349,47
BRASILIA;-7112348,701;-16135898,25
BRASILIA;-7131799,749;-16177447,03
BRASILIA;-7151250,797;-16218995,81
BRASILIA;-7170701,845;-16260544,59
BRASILIA;-7190152,894;-16302093,37
BRASILIA;latitude;longitude
BRASILIA;-7209603,942;-16343642,15
BRASILIA;-7229054,99;-16385190,93
BRASILIA;-7248506,038;-16426739,71
BRASILIA;-7267957,086;-16468288,5
BRASILIA;-7287408,134;-16509837,28
BRASILIA;-7306859,182;-16551386,06
BRASILIA;-7326310,23;-16592934,84
BRASILIA;-7345761,278;-16634483,62
BRASILIA;-7365212,326;-16676032,4
BRASILIA;-7384663,374;-16717581,18
BRASILIA;-7404114,422;-16759129,96
BRASILIA;-7423565,47;-16800678,74
BRASILIA;-7443016,518;-16842227,52
BRASILIA;-7462467,566;-16883776,3
BRASILIA;-7481918,614;-16925325,08
BRASILIA;-7501369,662;-16966873,86
BRASILIA;-7520820,71;-17008422,64
BRASILIA;-7540271,758;-17049971,42
BRASILIA;-7559722,806;-17091520,2
BRASILIA;-7579173,855;-17133068,98
BRASILIA;-7598624,903;-17174617,76
BRASILIA;latitude;longitude
BRASILIA;-7618075,951;-17216166,54
BRASILIA;-7637526,999;-17257715,33
BRASILIA;-7656978,047;-17299264,11
BRASILIA;-7676429,095;-17340812,89
BRASILIA;-7695880,143;-17382361,67
BRASILIA;-7715331,191;-17423910,45
BRASILIA;-7734782,239;-17465459,23
BRASILIA;-7754233,287;-17507008,01
BRASILIA;-7773684,335;-17548556,79
