latitude,longitude,objectid,id_grade,id_20km_rcp4,ano,periodo,mntp,mxtp,ocis,prec,ur2m,u10m,v10m,u100,v100,tp2m,
null,null,2006001,10008,3,2006,1136073600000,20.4914,30.5642,282,1533,52.5766,-1.74803,-0.448871,-2.40974,-0.769519,25.6921,
null,null,2006002,10009,4,2006,1136073600000,20.1184,29.8398,286,1243,52.5207,-1.96728,-0.643514,-2.93834,-0.816602,25.0648,
null,null,2006003,10010,5,2006,1136073600000,20.0152,30.256,286,1210,52.3066,-1.82784,-0.598811,-2.89057,-0.816303,25.3135,
null,null,2006004,10011,6,2006,1136073600000,20.2942,30.823,286,1272,51.5434,-1.9452,-0.489623,-2.73667,-0.847663,25.78,
null,null,2006005,10012,7,2006,1136073600000,20.4826,30.9121,286,1314,51.0061,-1.91606,-0.433823,-2.96285,-0.858591,25.8715,
null,null,2006006,10013,8,2006,1136073600000,20.3955,31.085,286,1307,50.6803,-1.83312,0.389344,-3.37701,-0.558704,25.9303,
null,null,2006007,10014,9,2006,1136073600000,20.3024,31.5879,284,1320,50.6066,-2.04451,0.263696,-2.79757,0.267946,26.2134,
null,null,2006008,10015,10,2006,1136073600000,19.6238,30.764,288,1206,51.4525,-1.93589,0.484836,-2.61082,0.671787,25.4344,
null,null,2006009,10016,11,2006,1136073600000,19.2897,30.6961,288,1082,51.6619,-2.09174,0.413886,-3.039,0.647093,25.2413,
null,null,2006010,10017,12,2006,1136073600000,19.1727,30.7208,289,992,51.8902,-1.92314,0.325781,-2.92494,0.469352,25.1729,
null,null,2006011,10018,13,2006,1136073600000,19.1572,30.6486,288,1008,52.2707,-1.9656,0.212316,-2.80403,0.116615,25.1031,
null,null,2006012,10019,14,2006,1136073600000,18.8616,30.1498,289,1023,52.2644,-2.14108,-0.194391,-3.21697,-0.38654,24.6557,
null,null,2006013,10020,15,2006,1136073600000,17.9257,28.9468,292,897,53.1421,-2.44606,-0.255054,-4.1451,-0.695953,23.5289,
null,null,2006014,10021,16,2006,1136073600000,17.0762,28.1725,295,811,54.1283,-2.88813,-0.514453,-4.4492,-0.639864,22.7113,
null,null,2006015,10022,17,2006,1136073600000,16.8048,28.1685,295,821,54.2359,-2.94184,-0.425944,-4.26451,-0.467381,22.5919,
null,null,2006016,10023,18,2006,1136073600000,16.5402,28.2059,296,837,54.169,-2.92773,-0.314455,-4.21998,-0.325217,22.4813,
null,null,2006017,10024,19,2006,1136073600000,16.3916,28.0606,297,801,54.5155,-2.96215,-0.259136,-4.19465,-0.064856,22.3153,
null,null,2006018,11006,20,2006,1136073600000,20.06,29.5558,280,1449,54.5069,-1.72284,-0.486379,-2.08258,-0.524529,24.9166,
null,null,2006019,11007,21,2006,1136073600000,20.2462,30.3552,280,1646,53.4235,-1.59758,-0.490399,-2.07186,-0.620726,25.5092,
